Cell ,dq_minimum,dq_mean,dq_variance,dq_skewness,dq_kurtosis,Difference,slope_100_2,intercept_100_2,slope_100_91,intercept_100_91,discharge_capacity_2,discharge_capacity_100,cycle_life
1,-0.008459643,-0.002873415,9.67E-06,-0.532058472,,0.4683652,-0.000206807,1.091143732,3.53E-05,1.072424693,1.0706892,1.0759126,1190
2,-0.011003817,-0.004099615,9.69E-06,-0.429374903,,0.0092883,5.54E-06,1.08096458,-4.13E-05,1.084767,1.0753012,1.0806297,1179
3,-0.017216392,-0.004486734,1.83E-05,-1.080194279,,0.0081312,1.03E-05,1.08484612,-4.42E-05,1.089364321,1.0799223,1.0849404,1177
4,-0.01896054,-0.007455785,3.61E-05,-0.439050463,,0.0065301,1.71E-05,1.084075016,-3.68E-06,1.085131095,1.0797229,1.0847498,1226
5,-0.013957995,-0.005750008,2.25E-05,-0.362548127,,0.0058999,1.90E-05,1.081874821,-2.93E-05,1.085538347,1.0784167,1.0826457,1227
6,-0.025178779,-0.011073913,6.63E-05,-0.149350148,,0.0059438,1.12E-05,1.079754795,-2.32E-05,1.082084999,1.0761266,1.0797794,1074
7,-0.037886039,-0.015965056,0.000170434,-0.40793585,,0.0063032,-4.81E-06,1.081157026,-6.22E-05,1.085484911,1.0758358,1.0792426,636
8,-0.038233387,-0.016645727,0.000153797,-0.33341662,,0.0041042,-6.43E-06,1.09725427,-4.06E-05,1.099840619,1.0938644,1.0957625,870
9,-0.028724476,-0.011510601,8.73E-05,-0.427591028,,0.0059757,1.82E-05,1.086771425,-1.30E-05,1.088946321,1.0829742,1.0876312,1054
10,-0.023691513,-0.008378205,7.14E-05,-0.594847887,,0.0094604,2.18E-05,1.058971606,-1.16E-05,1.061117519,1.0537786,1.0599719,788
11,-0.028293956,-0.011946218,9.00E-05,-0.282452637,,0.0068777,2.62E-05,1.074764977,-1.95E-05,1.07814312,1.0709661,1.0762016,880
12,-0.028944555,-0.011013089,9.60E-05,-0.481998551,,0.0082151,2.90E-05,1.066175368,-2.44E-05,1.070170135,1.0611236,1.0677497,719
13,-0.027606675,-0.012403806,7.96E-05,-0.12294983,,0.0074255,2.32E-05,1.085288383,-3.06E-05,1.089363988,1.0811664,1.0863206,862
14,-0.031067967,-0.013343116,0.00010722,-0.255987946,,0.0071738,1.79E-05,1.076194039,-1.27E-05,1.078266405,1.072052,1.0769763,857
15,-0.044133215,-0.020702387,0.000224055,-0.052078891,,1.817914,-0.000294542,1.101465004,-0.000105866,1.074975859,1.0661705,1.0645274,691
16,-0.045892693,-0.020106275,0.000240175,-0.273423663,,0.0041907,-1.04E-05,1.08889662,-3.33E-05,1.090313945,1.0851147,1.0870851,788
17,-0.063580427,-0.032795983,0.000429731,0.241672766,,0.0030942,-0.000139776,1.076969671,-0.000233113,1.084587725,1.07263,1.0612478,534
18,-0.064720263,-0.030657577,0.000446783,-0.090166652,,0.0034874,-8.18E-05,1.086397504,-0.000159053,1.092649285,1.0824388,1.0767291,559
19,-0.029953517,-0.013340621,9.11E-05,-0.143174404,,0.004493,-6.76E-06,1.083324363,-2.04E-05,1.083739446,1.0793039,1.0820541,1014
20,-0.031842134,-0.013873507,0.000115285,-0.338863108,,0.0045395,-6.95E-06,1.082815554,-7.40E-05,1.084523121,1.0745355,1.0776314,1017
21,-0.029441173,-0.012406193,9.39E-05,-0.357934776,,0.0046786,2.02E-06,1.07792995,-3.22E-05,1.081288054,1.0752345,1.0780438,854
22,-0.038354454,-0.017850157,0.000160404,-0.117068164,,0.0038948,5.13E-07,1.078821728,-9.83E-05,1.098625475,1.0876514,1.0893713,870
23,-0.03583212,-0.015514187,0.000140195,-0.289518522,,0.0039534,-1.52E-05,1.091350021,-1.33E-05,1.082296433,1.0790461,1.0810226,842
24,-0.03721348,-0.016698123,0.000143127,-0.14263301,,0.003847,-1.08E-05,1.082584738,-3.48E-05,1.083175631,1.0777475,1.0796947,860
25,-0.03686845,-0.016600523,0.000145262,-0.137629963,,0.0043492,-7.73E-06,1.08108969,-3.73E-05,1.085559155,1.0794537,1.0818107,917
26,-0.040815385,-0.017719122,0.000180192,-0.285191424,,0.0039545,-1.64E-05,1.083658496,-3.75E-05,1.085152836,1.0798637,1.0814074,709
27,-0.039478206,-0.017983589,0.000166994,-0.110732928,,0.0036942,-2.62E-05,1.09840466,-4.08E-05,1.099446616,1.0946392,1.0953494,876
28,-0.045566285,-0.020730274,0.000225928,-0.155656031,,0.0038201,-1.28E-05,1.081323039,-3.84E-05,1.083227069,1.0778366,1.0793804,731
29,-0.044901781,-0.021651569,0.000215465,0.064832107,,0.0043354,-2.18E-05,1.096604067,-4.61E-05,1.098375564,1.0924908,1.0937657,757
30,-0.037218142,-0.016080359,0.000141846,-0.150901165,,0.004865,-3.13E-07,1.08008595,-3.01E-05,1.082449982,1.0766174,1.0794187,742
31,-0.039152034,-0.018223342,0.000168977,-0.094487271,,0.0050792,3.20E-06,1.074344712,-2.63E-05,1.076614707,1.0707464,1.0739936,703
32,-0.044621406,-0.021042351,0.000214256,-0.024120388,,0.0045278,-7.18E-06,1.081642895,-4.10E-05,1.084323084,1.0778315,1.0802411,704
33,-0.044544785,-0.019436825,0.000212078,-0.23647587,,0.0044724,-9.68E-06,1.078523771,-4.38E-05,1.081177342,1.0748194,1.0768065,648
34,-0.056415597,-0.026764194,0.000369306,-0.063810422,,0.0036465,-9.44E-06,1.076282799,-7.16E-06,1.075664488,1.0729513,1.0749754,617
35,-0.053143954,-0.024440041,0.000313257,-0.152502333,,0.0046894,-3.29E-06,1.085827017,-2.56E-05,1.087359352,1.0817773,1.0847629,625
36,-0.029095709,-0.012628808,8.81E-05,-0.248504664,,0.0045033,-8.20E-06,1.087348426,-4.21E-05,1.089952279,1.0833029,1.0857353,966
37,-0.028506291,-0.012358569,8.49E-05,-0.231356313,,0.0049075,-1.39E-07,1.082893853,-3.19E-05,1.085361975,1.0789614,1.0821686,1051
38,-0.044709646,-0.02059921,0.000216062,-0.107694084,,0.0049595,2.11E-06,1.08378139,-3.26E-05,1.086507071,1.0798725,1.0832821,702
39,-0.04460589,-0.019165627,0.000215107,-0.237253536,,0.0034321,-2.40E-05,1.07174695,-3.97E-05,1.072803769,1.0682389,1.0688359,651
40,-0.058797072,-0.029329093,0.000379957,0.139079849,,0.0035624,-3.36E-05,1.08855646,-5.14E-05,1.089854065,1.0847682,1.0847102,616
41,-0.05940351,-0.028866091,0.000375961,0.115197766,,0.0044825,-1.29E-05,1.087818373,-3.90E-05,1.089747546,1.0839558,1.0858277,599
42,-0.135422472,-0.071338273,0.001797717,0.488862462,,0.0035296,-0.000354731,1.07883863,-0.000696795,1.108732469,1.0700541,1.038452,300
43,-0.138026237,-0.077684057,0.0018773,0.930996813,,0.0015459,-0.001092105,1.084408327,-0.001405749,1.109249796,1.0720705,0.96833885,148
44,-0.054563938,-0.024491467,0.000321496,-0.170198801,,0.0064283,-1.28E-05,1.078679621,-5.64E-05,1.081637856,1.0735391,1.0759984,438
45,-0.100741258,-0.056715014,0.001177303,0.422060914,,0.0020589,-0.000227374,1.072520538,-0.000355322,1.082344632,1.0668509,1.046734,335
46,-0.064008172,-0.032231502,0.000445071,0.160033993,,0.0027499,-0.00010675,1.077330645,-0.000189493,1.084105793,1.0728973,1.0650914,444
47,-0.048099795,-0.022220247,0.000249885,-0.079329329,,0.0050053,-1.14E-06,1.072032036,-7.46E-05,1.078154133,1.0680153,1.070745,480
48,-0.072457157,-0.039274778,0.000570223,0.435260516,,0.0037921,-0.000214386,1.075658243,-0.000290691,1.081211722,1.0687391,1.0521992,511
49,-0.048322112,-0.023504786,0.000236658,0.165527201,,0.0048897,-6.00E-05,1.074592569,-0.000165943,1.083473019,1.0690521,1.0670482,561
50,-0.056490969,-0.027693462,0.000344918,0.088016983,,0.0042239,-4.15E-05,1.076324939,-0.000125932,1.083208858,1.0717047,1.0705185,477
51,-0.066445666,-0.035010443,0.000478988,0.351601633,,0.4178432,-0.000148013,1.076501974,-0.000243721,1.084382516,1.0712759,1.0600308,458
52,-0.076931976,-0.037168548,0.000654058,-0.050698994,,0.0029318,-0.000121204,1.085154313,-0.000186149,1.090231258,1.080285,1.0716245,483
53,-0.052230819,-0.024366548,0.000317455,-0.112798033,,0.0048147,-3.97E-06,1.082271562,-4.31E-05,1.085222101,1.0780684,1.0809475,485
54,-0.057819507,-0.024470064,0.000372772,-0.300708614,,0.0110646,2.06E-05,1.073533826,-7.10E-05,1.0806242,1.0656468,1.073837,494
55,-0.055433267,-0.026516399,0.000297016,0.09958102,,0.0037714,-8.16E-05,1.06828311,-0.000141642,1.072919504,1.063838,1.0588086,487
56,-0.064540909,-0.0315363,0.000483537,-0.038468741,,0.0016425,-0.000178508,1.051277032,-0.000171432,1.049971758,1.0480373,1.0328457,461
57,-0.043721121,-0.020908146,0.000190326,0.084765575,,0.0063896,-6.30E-06,1.088277042,-8.80E-05,1.094967578,1.0831043,1.0862604,502
58,-0.058796232,-0.026208784,0.000297782,0.128075031,,0.005137,-4.40E-05,1.082136947,-0.000109075,1.087376249,1.0768799,1.0766457,489
59,-0.050601827,-0.023680987,0.000279311,-0.053478681,,0.0056468,-8.08E-06,1.084615931,-8.59E-05,1.091102888,1.079723,1.0825431,513
60,-0.05240216,-0.027351232,0.000297972,0.267605378,,0.00356,-6.66E-05,1.078901174,-0.000125752,1.083801218,1.0745209,1.0714235,527
61,-0.044037315,-0.019580447,0.000201666,-0.140644008,,0.0054579,2.77E-06,1.071938919,-8.55E-05,1.079509,1.0679682,1.0710108,495
62,-0.056945454,-0.026755635,0.00035316,-0.02246698,,0.0048971,-3.03E-05,1.072093634,-0.000126161,1.080208468,1.0672674,1.0676695,461
63,-0.058946417,-0.028812073,0.000391989,0.07486354,,0.0058852,-3.70E-05,1.082561314,-0.000123453,1.089652165,1.0766411,1.0773104,471
64,-0.050249948,-0.02303863,0.000274553,-0.090781909,,0.005946,4.95E-07,1.070597696,-6.74E-05,1.076084512,1.065841,1.0693567,468
65,-0.05167304,-0.024117093,0.000300715,-0.131648072,,0.0063132,6.73E-06,1.076352866,-5.91E-05,1.082173513,1.07155,1.0759076,509
66,-0.041097994,-0.017621935,0.000195673,-0.285767383,,0.0068375,3.28E-05,1.076574752,-1.81E-05,1.08047904,1.0725043,1.0787998,498
67,-0.047269755,-0.020763689,0.00024868,-0.199114263,,0.0058776,8.46E-06,1.071719845,-6.42E-05,1.07765363,1.0672802,1.071249,481
68,-0.045379041,-0.021930202,0.00023625,-0.004593958,,0.0068458,1.27E-05,1.07857364,-5.83E-05,1.084380818,1.0732793,1.0785081,492
69,-0.057812341,-0.024188844,0.00032611,-0.208380059,,0.0066598,1.78E-05,1.078764532,-3.53E-05,1.083118649,1.0742669,1.0795146,519
70,-0.043172684,-0.01974285,0.000207403,-0.074716717,,0.006544,2.07E-05,1.08352129,-1.62E-05,1.086236694,1.079052,1.0847911,520
71,-0.042399078,-0.018675489,0.000198151,-0.126430719,,0.0068526,2.09E-05,1.073610613,-5.00E-05,1.079649324,1.0688509,1.0746909,499
72,-0.053449594,-0.023497206,0.000325284,-0.186880147,,0.0057665,-2.80E-07,1.073355198,-7.22E-05,1.079095497,1.0687217,1.0718495,463
73,-0.049023414,-0.020428504,0.000273137,-0.329542843,,0.0063388,2.41E-05,1.083945036,-3.12E-05,1.088271479,1.079731,1.0852383,535
74,-0.051133704,-0.023311257,0.000300122,-0.112653712,,0.0068574,3.51E-05,1.07889607,-3.18E-05,1.084373907,1.0748166,1.081265,478
75,-0.051382602,-0.024707126,0.000291201,0.040456653,,0.0057986,1.65E-05,1.074105116,-4.34E-05,1.078955405,1.0699497,1.074622,465
76,-0.052044824,-0.025512914,0.00031249,0.050302845,,0.0084206,3.19E-05,1.084284399,-2.65E-05,1.088829988,1.0784613,1.0863159,459
77,-0.050290984,-0.023897327,0.000275786,0.03158942,,0.0065683,-1.99E-05,1.082268664,-5.40E-05,1.085115201,1.0765519,1.0798434,499
78,-0.056580278,-0.025823462,0.000364211,-0.13595648,,0.0079039,1.66E-05,1.073882672,-6.89E-05,1.080949204,1.0682049,1.0736984,429
79,-0.049971845,-0.023693164,0.000258904,0.076712607,,0.0060867,1.18E-05,1.082518045,-6.92E-05,1.089385525,1.0780239,1.082616,466
80,-0.05942521,-0.028338762,0.00040315,-0.010141831,,0.0070754,1.25E-05,1.078976253,-2.66E-05,1.081680605,1.0735646,1.0790776,462
81,-0.05693356,-0.026474516,0.000353064,-0.040753542,,0.4738314,2.23E-05,1.075213642,-2.26E-05,1.078684715,1.070887,1.0763599,457
82,-0.043515981,-0.020855719,0.000205124,0.028860296,,0.0051856,-7.06E-06,1.074867974,-7.21E-05,1.080170462,1.0704726,1.0730408,487
83,-0.060267996,-0.030082086,0.000428047,0.062296787,,0.0073842,2.94E-05,1.077631966,-1.32E-05,1.080845185,1.0726138,1.0795197,429
84,-0.029613238,-0.011988542,9.26E-05,-0.271468573,,0.0081127,-9.55E-06,1.049389155,-7.97E-05,1.054948215,1.0421375,1.0470229,713
85,-0.023311657,-0.010102177,5.69E-05,-0.195121621,,0.0039161,-5.35E-06,1.070659091,-4.19E-05,1.073592474,1.0674551,1.0694544,1009
86,-0.022324178,-0.009621019,5.19E-05,-0.286369544,,0.0036796,-1.47E-05,1.068472358,-6.47E-05,1.072881217,1.0650603,1.0664777,1063
87,-0.026836615,-0.010705414,7.65E-05,-0.479549592,,0.002645,-1.27E-05,1.065298418,-7.75E-05,1.071194784,1.0628892,1.0635946,1115
88,-0.024810276,-0.010106439,6.64E-05,-0.435859453,,0.0027885,-5.23E-06,1.074804658,-2.38E-05,1.076184468,1.0724765,1.0738586,1048
89,-0.025445098,-0.011445765,7.69E-05,-0.1629821,,0.0026052,-1.60E-05,1.053974207,-6.30E-05,1.058087015,1.0514506,1.0518515,828
90,-0.053201647,-0.028517561,0.00029835,0.483158631,,0.0004592,-0.000202398,1.064081999,-0.000243287,1.068014835,1.0626124,1.04378,667
91,-0.017059022,-0.007037779,3.25E-05,-0.340782933,,0.0033972,-2.36E-06,1.070297655,-6.75E-05,1.076085287,1.0675218,1.0684743,1836
92,-0.026848971,-0.011806368,8.10E-05,-0.215071989,,0.0039782,-3.31E-06,1.068174847,-3.77E-05,1.070842241,1.0647362,1.067026,828
93,-0.029575275,-0.014478012,0.000104265,-0.055848608,,0.0038881,6.68E-07,1.072825256,-8.25E-06,1.073239733,1.0694826,1.0724456,1039
94,-0.019093026,-0.008335184,3.88E-05,-0.244956487,,0.0032262,-2.88E-06,1.064525264,-0.000113952,1.074603958,1.0617746,1.0623909,1078
95,-0.034087375,-0.015620691,0.000130471,-0.140192583,,0.0026928,-1.77E-05,1.070729462,-3.90E-05,1.072246544,1.0680679,1.0682998,817
96,-0.031734922,-0.015314893,0.000113147,0.009007908,,0.0027777,-6.68E-06,1.076676032,-2.38E-05,1.077940266,1.0741653,1.0755343,932
97,-0.027646084,-0.01176548,8.05E-05,-0.258268736,,0.0040867,-1.22E-05,1.069335077,-4.98E-05,1.072257731,1.065558,1.067306,816
98,-0.02928236,-0.013203557,0.000100177,-0.192042863,,0.0050386,4.64E-06,1.076779365,-1.70E-05,1.078110351,1.0727056,1.0763919,858
99,-0.029484345,-0.013340331,9.99E-05,-0.153823788,,0.0028587,-1.16E-05,1.071136518,-7.97E-05,1.077064293,1.0684187,1.0693594,876
100,-0.013451996,-0.005323302,2.02E-05,-0.053271978,,0.0033309,-9.69E-06,1.064003112,-8.32E-05,1.070542173,1.061009,1.0625579,1638
101,-0.017882392,-0.007236217,3.64E-05,0.016698005,,0.0025996,-5.83E-06,1.067345296,-2.00E-05,1.068533195,1.0664514,1.0664585,1315
102,-0.02345577,-0.010342257,5.58E-05,-0.2289617,,0.0021301,-2.93E-05,1.070361931,-7.01E-05,1.074033416,1.0680237,1.0670015,1146
103,-0.025293658,-0.01154548,6.74E-05,-0.120878129,,0.0019749,-2.97E-05,1.074235086,-7.90E-05,1.078710202,1.0719248,1.0708553,1155
104,-0.028071994,-0.011919383,8.59E-05,-0.339530047,,0.0030607,-7.15E-06,1.067814756,-4.07E-05,1.070552776,1.0650502,1.0664401,813
105,-0.043276149,-0.023538704,0.000197746,0.506139744,,0.0008404,-0.000159492,1.070112267,-0.000192495,1.073130889,1.0678563,1.0538316,772
106,-0.02840933,-0.013722551,8.99E-05,0.052922112,,0.0028446,-1.60E-05,1.05897035,-5.29E-05,1.062242032,1.0562643,1.0569046,1002
107,-0.024772399,-0.010345483,7.00E-05,-0.335748806,,0.0048557,9.65E-06,1.049949028,-5.47E-05,1.055517054,1.0462732,1.050084,825
108,-0.026576249,-0.010925822,7.14E-05,-0.36635098,,0.0043403,6.95E-06,1.064468012,-5.59E-05,1.06989657,1.0611302,1.0643663,989
109,-0.024179139,-0.010139593,6.04E-05,-0.342155479,,0.0037909,-4.29E-07,1.075134168,-4.37E-05,1.078754517,1.0720186,1.074435,1028
110,-0.026600291,-0.010709911,7.42E-05,-0.361154542,,0.0040355,-4.04E-06,1.063914867,-4.65E-05,1.067372125,1.0604171,1.0627574,850
111,-0.057831121,-0.030256119,0.000353815,0.299642387,,0.0008317,-0.000198022,1.054621147,-0.000267253,1.060669153,1.0518668,1.0340093,541
112,-0.028921475,-0.011300575,8.65E-05,-0.348448862,,0.004832,4.08E-06,1.070292311,-5.96E-05,1.075542098,1.0663688,1.0696349,858
113,-0.02673717,-0.011137571,7.95E-05,-0.387311906,,0.0036005,-3.42E-06,1.071880175,-3.10E-05,1.074063598,1.0687393,1.0710108,935
114,-0.03561941,-0.016350549,0.000144821,-0.120852816,,0.0034605,-9.00E-06,1.071258666,-3.54E-05,1.073281415,1.0681812,1.0698149,731
115,-0.019885926,-0.007848678,4.02E-05,-0.420035169,,0.0026444,-1.26E-05,1.062801338,-5.69E-05,1.066627388,1.060272,1.0609198,1284
116,-0.021509893,-0.009552006,4.95E-05,-0.184080259,,0.0027431,-2.12E-05,1.06432507,-7.77E-05,1.069308148,1.061535,1.0615493,1158
117,-0.023028075,-0.009826426,5.83E-05,-0.296336168,,0.0020494,-1.95E-05,1.065495417,-4.98E-05,1.068198545,1.0633804,1.0632331,1093
118,-0.022981814,-0.009908357,5.58E-05,-0.25112113,,0.0030761,-2.20E-05,1.060483815,-5.94E-05,1.063666739,1.0575287,1.0577667,923
119,-0.020147006,-0.008693083,4.55E-05,-0.054164716,,0.0025093,-8.79E-06,1.072430919,-6.19E-05,1.077245644,1.0701473,1.0710695,1935
120,-0.017457918,-0.006428439,3.51E-05,-0.292538603,,0.004107,-6.58E-06,1.050918796,-2.41E-05,1.052010814,1.0474036,1.0495038,1156
121,-0.022053794,-0.009078861,5.07E-05,-0.315430893,,0.00451,-7.69E-06,1.063391687,-4.83E-05,1.066635646,1.0593235,1.0617574,796
122,-0.024192994,-0.009748051,6.04E-05,-0.357133557,,0.0043619,9.73E-06,1.053877799,-5.06E-05,1.059149495,1.0505219,1.0541531,786
123,-0.025985132,-0.011231061,7.40E-05,-0.244616366,,0.0041849,4.69E-06,1.073078213,-1.79E-05,1.074668847,1.06972,1.0729284,940
124,-0.016477961,-0.007131752,3.02E-05,-0.328143046,,0.0025962,-1.26E-07,1.071472276,-7.19E-06,1.071735902,1.0695485,1.0711251,1801
